,0
0,Arizona
1,Arkansas
2,Colorado
3,Delaware
4,Georgia
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maryland
12,Minnesota
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Jersey
18,New Mexico
19,New York
20,North Carolina
21,North Dakota
22,Oklahoma
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Utah
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
